train_loss,train_loss_step,val/mse,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/warmup_epochs,config/train_loop_config/ffn_num_layers,config/train_loop_config/depth,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/batch_size,config/train_loop_config/dropout,config/train_loop_config/init_lr_ratio,config/train_loop_config/final_lr_ratio,config/train_loop_config/max_lr,config/train_loop_config/message_hidden_dim,logdir
0.01268389169126749,0.007040172349661589,0.07787604629993439,0.07787604629993439,0.01268389169126749,199,3200,1768372545,checkpoint_000199,True,False,200,75671a19,2026-01-14_06-35-46,12.795105695724487,1378.1763098239899,1240119,gypsum-gpu181,10.100.31.81,1378.1763098239899,200,18,1,4,1100,32,0.25,0.041654197531872675,0.652744584297665,0.00012286302122987725,1500,75671a19
0.004028861876577139,0.0068647367879748344,0.05202317237854004,0.05202317237854004,0.004028861876577139,117,944,1768372576,checkpoint_000117,True,False,118,21fc0797,2026-01-14_06-36-17,4.623045921325684,825.376517534256,1257802,gypsum-gpu181,10.100.31.81,825.376517534256,118,62,2,4,1000,64,0.15000000000000002,0.608943366433319,0.0264042639584858,0.0007560973956678509,1600,21fc0797
0.0022823899053037167,0.002257885644212365,0.05233112722635269,0.05233112722635269,0.0022823899053037167,199,400,1768375337,checkpoint_000199,True,False,200,d6458ad1,2026-01-14_07-22-17,10.146847009658813,2758.2902705669403,1283199,gypsum-gpu181,10.100.31.81,2758.2902705669403,200,58,2,5,1400,256,0.0,0.0254424784122926,0.10200922431591174,0.00044746471230842796,2400,d6458ad1
0.7298027873039246,0.7453745603561401,0.5335880517959595,0.5335880517959595,0.7298027873039246,15,32,1768372770,checkpoint_000015,True,False,16,ebe3f3a0,2026-01-14_06-39-31,12.906695365905762,173.6598870754242,1284309,gypsum-gpu181,10.100.31.81,173.6598870754242,16,61,1,5,900,256,0.4,0.012306996711338766,0.17396232482570778,0.006432556639945765,2100,ebe3f3a0
0.05055094510316849,0.05497058480978012,0.08609464019536972,0.08609463274478912,0.05055094510316849,177,356,1768375368,checkpoint_000177,True,False,178,1a2954c0,2026-01-14_07-22-48,7.775514841079712,2559.8932745456696,1287518,gypsum-gpu181,10.100.31.81,2559.8932745456696,178,86,2,2,1700,256,0.15000000000000002,0.03120297785266212,0.014773803572345931,0.0001749721019087931,2100,1a2954c0
0.49287939071655273,0.5467042922973633,0.4918062090873718,0.49180617928504944,0.49287939071655273,21,88,1768375556,checkpoint_000021,True,False,22,96eb504a,2026-01-14_07-25-56,6.0814595222473145,193.09677958488464,1319399,gypsum-gpu181,10.100.31.81,193.09677958488464,22,93,2,3,1300,128,0.0,0.012762550760513166,0.01122956502079876,0.00030830623681664057,1900,96eb504a
0.11377057433128357,0.09554257988929749,0.14835470914840698,0.14835470914840698,0.11377057433128357,15,64,1768375520,checkpoint_000015,True,False,16,9b321919,2026-01-14_07-25-20,9.91076946258545,128.73109459877014,1320094,gypsum-gpu181,10.100.31.81,128.73109459877014,16,40,1,5,1900,128,0.0,0.014344961501402383,0.03215661638711868,0.00481176342405285,1400,9b321919
0.996128499507904,0.701392412185669,0.8142330050468445,0.8142330050468445,0.996128499507904,3,16,1768375578,checkpoint_000003,True,False,4,691205fb,2026-01-14_07-26-18,6.030746698379517,34.719022035598755,1323438,gypsum-gpu181,10.100.31.81,34.719022035598755,4,86,1,3,1300,128,0.0,0.010319641073669977,0.021920084786728584,0.00011381583294454103,1900,691205fb
0.011292260140180588,0.016590330749750137,0.038494713604450226,0.038494717329740524,0.011292260140180588,199,1600,1768376716,checkpoint_000199,True,False,200,72420f35,2026-01-14_07-45-16,5.0442094802856445,1138.3325407505035,1324209,gypsum-gpu181,10.100.31.81,1138.3325407505035,200,14,2,6,1700,64,0.35000000000000003,0.019050778553260053,0.033064373563520134,0.0033445724506721056,500,72420f35
0.0032336395233869553,0.003466271562501788,0.06577281653881073,0.06577280908823013,0.0032336395233869553,199,400,1768377179,checkpoint_000199,True,False,200,3f4fa34a,2026-01-14_07-52-59,3.661637306213379,1564.8274900913239,1324990,gypsum-gpu181,10.100.31.81,1564.8274900913239,200,58,1,4,1500,256,0.05,0.04638783223350383,0.08376915722137084,0.0010573376044838163,1800,3f4fa34a
