train_loss,train_loss_step,val/mse,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/init_lr_ratio,config/train_loop_config/dropout,config/train_loop_config/max_lr,config/train_loop_config/warmup_epochs,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/batch_size,config/train_loop_config/depth,config/train_loop_config/ffn_num_layers,config/train_loop_config/final_lr_ratio,config/train_loop_config/message_hidden_dim,logdir
0.16748712956905365,0.17306984961032867,0.2418898493051529,0.2418898493051529,0.16748712956905365,199,2800,1763181391,checkpoint_000199,True,False,200,99fa2e38,2025-11-15_04-36-32,10.212257146835327,2159.9769554138184,948305,gypsum-gpu162,10.100.31.62,2159.9769554138184,200,0.19140541939049865,0.2,0.00015027137020187677,55,1300,256,3,1,0.02908870539848528,2100,99fa2e38
0.000389466731576249,0.0009776533115655184,0.24266637861728668,0.24266637861728668,0.000389466731576249,199,2800,1763182408,checkpoint_000199,True,False,200,8c617fda,2025-11-15_04-53-29,12.905607461929321,2808.2879712581635,960862,gypsum-gpu162,10.100.31.62,2808.2879712581635,200,0.08869012758676156,0.0,0.004783506135960282,20,1300,256,4,2,0.013828068981940137,2400,8c617fda
0.0014544919831678271,0.0010289596393704414,0.19086642563343048,0.19086642563343048,0.0014544919831678271,199,21000,1763183624,checkpoint_000199,True,False,200,a4a3f4f0,2025-11-15_05-13-44,9.633255958557129,2181.922959804535,993141,gypsum-gpu162,10.100.31.62,2181.922959804535,200,0.2617548652730619,0.0,0.0057791978323769476,70,1500,32,4,2,0.4166596782694961,1800,a4a3f4f0
0.012203404679894447,0.01309016440063715,0.20204313099384308,0.20204311609268188,0.012203404679894447,199,21000,1763185081,checkpoint_000199,True,False,200,83cf5f02,2025-11-15_05-38-01,11.716207027435303,2623.325562953949,1015142,gypsum-gpu162,10.100.31.62,2623.325562953949,200,0.22368777656527336,0.1,0.00010541749956363284,26,1400,32,6,1,0.0798471603038746,2100,83cf5f02
0.03821360692381859,0.04635264724493027,0.18242602050304413,0.18242599070072174,0.03821360692381859,174,4725,1763184793,checkpoint_000174,True,False,175,b7e0091c,2025-11-15_05-33-13,5.168025493621826,1114.4281358718872,1046361,gypsum-gpu162,10.100.31.62,1114.4281358718872,175,0.06577839256489168,0.3,0.0012855632895593316,72,700,128,2,2,0.517434547072615,1400,b7e0091c
0.16011571884155273,0.10563762485980988,0.2618706524372101,0.2618706524372101,0.16011571884155273,37,3990,1763185136,checkpoint_000037,True,False,38,a6e70eca,2025-11-15_05-38-57,6.244445323944092,306.02829003334045,1082076,gypsum-gpu162,10.100.31.62,306.02829003334045,38,0.03134453565061461,0.0,0.00010007770422185586,10,2100,32,3,1,0.02837069497479074,1300,a6e70eca
0.028412748128175735,0.018037758767604828,0.18121570348739624,0.18121570348739624,0.028412748128175735,199,21000,1763186566,checkpoint_000199,True,False,200,6ab8e1cd,2025-11-15_06-02-46,6.456578254699707,1435.0681517124176,1090628,gypsum-gpu162,10.100.31.62,1435.0681517124176,200,0.09024916952515599,0.0,0.0002259654736559139,96,1700,32,2,1,0.017463948546098416,1200,6ab8e1cd
0.000842882611323148,0.0004484974197112024,0.24131585657596588,0.2413158416748047,0.000842882611323148,199,10600,1763186589,checkpoint_000199,True,False,200,5343e5fe,2025-11-15_06-03-09,5.828291893005371,1404.4288268089294,1092132,gypsum-gpu162,10.100.31.62,1404.4288268089294,200,0.04410104474956476,0.0,0.0020197746041541232,54,300,64,3,1,0.07496238019763413,1700,5343e5fe
0.007762170862406492,0.006185203790664673,0.19710128009319305,0.19710128009319305,0.007762170862406492,199,21000,1763188143,checkpoint_000199,True,False,200,0fe77f08,2025-11-15_06-29-03,9.295448303222656,1537.8707790374756,1149040,gypsum-gpu162,10.100.31.62,1537.8707790374756,200,0.733538067306635,0.05,0.00035283978071675814,90,800,32,4,1,0.8400794720187718,1300,0fe77f08
0.025261569768190384,0.024931147694587708,0.2100871056318283,0.21008709073066711,0.025261569768190384,129,13650,1763188180,checkpoint_000129,True,False,130,524e0116,2025-11-15_06-29-40,8.730478525161743,1558.9858994483948,1149471,gypsum-gpu162,10.100.31.62,1558.9858994483948,130,0.6855682233668623,0.4,0.00025082879212669684,46,1900,32,5,1,0.0318824062813063,2100,524e0116
