,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
sider_spectra_tanimoto_0.45_1,0.45,65,17,0.0205884395212443,0.8017191886901855,0.7747035622596741,0.7516340017318726,0.8002419471740723
sider_spectra_tanimoto_0.45_2,0.45,68,17,0.0239546875251845,0.7315359711647034,0.6753246784210205,0.673202633857727,0.7263702154159546
sider_spectra_tanimoto_0.50_0,0.5,62,16,0.0189989224577199,0.7575172781944275,0.668367326259613,0.6990740895271301,0.7123689651489258
sider_spectra_tanimoto_0.50_1,0.5,65,17,0.0192691196396622,0.7780752778053284,0.7423934936523438,0.7233115434646606,0.8104835748672485
sider_spectra_tanimoto_0.50_2,0.5,61,16,0.0181248612547041,0.7900853157043457,0.7445887327194214,0.7268518805503845,0.7281537055969238
sider_spectra_tanimoto_0.55_0,0.55,51,13,0.0150270669092841,0.7517046928405762,0.6547619104385376,0.6695156693458557,0.6963940858840942
sider_spectra_tanimoto_0.55_1,0.55,56,14,0.0161924592915672,0.7481901049613953,0.664893627166748,0.6666666865348816,0.7480514049530029
sider_spectra_tanimoto_0.55_2,0.55,52,14,0.0163604435878253,0.8177071809768677,0.7897196412086487,0.761904776096344,0.8490199446678162
sider_spectra_tanimoto_0.60_0,0.6,45,12,0.0174007263343167,0.7651067972183228,0.6374502182006836,0.7191358208656311,0.674990177154541
sider_spectra_tanimoto_0.60_1,0.6,50,13,0.0152414725171976,0.748134970664978,0.6724137663841248,0.6752136945724487,0.7191516160964966
sider_spectra_tanimoto_0.60_2,0.6,48,13,0.015943708996011,0.7811372876167297,0.6890756487846375,0.6837607026100159,0.8080930113792419
sider_spectra_tanimoto_0.65_0,0.65,41,11,0.0112466082313419,0.7931972742080688,0.7183098793029785,0.7306397557258606,0.7384437918663025
sider_spectra_tanimoto_0.65_1,0.65,46,12,0.0126301694860595,0.80442214012146,0.695652186870575,0.7191358208656311,0.7204678058624268
sider_spectra_tanimoto_0.65_2,0.65,48,12,0.0135501452562244,0.7966345548629761,0.6830986142158508,0.7222222089767456,0.6735718846321106
