train_loss,train_loss_step,val/roc,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/dropout,config/train_loop_config/batch_size,config/train_loop_config/final_lr_ratio,config/train_loop_config/init_lr_ratio,config/train_loop_config/max_lr,config/train_loop_config/depth,config/train_loop_config/ffn_num_layers,config/train_loop_config/warmup_epochs,config/train_loop_config/message_hidden_dim,logdir
0.13944076001644135,0.1513686329126358,0.8106204867362976,0.981849193572998,0.13944076001644135,199,1800,1761444583,checkpoint_000199,True,False,200,c5ceddbd,2025-10-26_02-09-43,3.174919843673706,582.6617934703827,1168623,uri-gpu009,10.100.115.9,582.6617934703827,200,700,0.3,128,0.517434547072615,0.06577839256489168,0.0012855632895593316,2,2,72,1400,c5ceddbd
0.44175246357917786,0.4264019727706909,0.8205794095993042,0.5452742576599121,0.44175246357917786,199,7200,1761444671,checkpoint_000199,True,False,200,f37721bf,2025-10-26_02-11-11,2.8505544662475586,608.510333776474,1172042,uri-gpu009,10.100.115.9,608.510333776474,200,2100,0.0,32,0.02837069497479074,0.03134453565061461,0.00010007770422185586,3,1,10,1300,f37721bf
0.3596600592136383,0.37150514125823975,0.819425106048584,0.5970305800437927,0.3596600592136383,199,7200,1761445151,checkpoint_000199,True,False,200,63b5b2c6,2025-10-26_02-19-11,2.7047841548919678,547.7247207164764,1214017,uri-gpu009,10.100.115.9,547.7247207164764,200,1700,0.0,32,0.017463948546098416,0.09024916952515599,0.0002259654736559139,2,1,96,1200,63b5b2c6
0.006228545214980841,0.010395489633083344,0.7943872809410095,4.737611770629883,0.006228545214980841,199,3600,1761445241,checkpoint_000199,True,False,200,7d4b267c,2025-10-26_02-20-41,2.6456429958343506,549.8539578914642,1221329,uri-gpu009,10.100.115.9,549.8539578914642,200,300,0.0,64,0.07496238019763413,0.04410104474956476,0.0020197746041541232,3,1,54,1700,7d4b267c
0.04216042160987854,0.04609581455588341,0.8274408578872681,2.233187437057495,0.04216042160987854,199,7200,1761445755,checkpoint_000199,True,False,200,28163501,2025-10-26_02-29-15,3.14664626121521,583.8066072463989,1265384,uri-gpu009,10.100.115.9,583.8066072463989,200,800,0.05,32,0.8400794720187718,0.733538067306635,0.00035283978071675814,4,1,90,1300,28163501
0.22591401636600494,0.23683056235313416,0.8245446681976318,0.9518734812736511,0.22591401636600494,199,7200,1761446167,checkpoint_000199,True,False,200,a5a996cb,2025-10-26_02-36-07,4.715504884719849,902.073483467102,1273135,uri-gpu009,10.100.115.9,902.073483467102,200,1900,0.4,32,0.0318824062813063,0.6855682233668623,0.00025082879212669684,5,1,46,2100,a5a996cb
0.1685260385274887,0.18151159584522247,0.8220593929290771,0.9571253657341003,0.1685260385274887,199,1000,1761446308,checkpoint_000199,True,False,200,4fa42c9b,2025-10-26_02-38-28,2.4026670455932617,533.0723459720612,1310694,uri-gpu009,10.100.115.9,533.0723459720612,200,800,0.3,256,0.10322535652797084,0.028167486088635476,0.0026182210694641467,5,1,30,1200,4fa42c9b
0.19362108409404755,0.20796360075473785,0.8246979713439941,0.8852835297584534,0.19362108409404755,199,1000,1761446763,checkpoint_000199,True,False,200,764a5b6f,2025-10-26_02-46-03,3.004631280899048,575.2298712730408,1336542,uri-gpu009,10.100.115.9,575.2298712730408,200,1300,0.35000000000000003,256,0.21881279384424715,0.0209610716825527,0.0018715786086655672,4,1,75,1200,764a5b6f
7.380001625278965e-05,0.0002519408881198615,0.8000668287277222,4.659660816192627,7.380001625278965e-05,199,7200,1761447561,checkpoint_000199,True,False,200,04522603,2025-10-26_02-59-21,5.933691024780273,1226.3539834022522,1346153,uri-gpu009,10.100.115.9,1226.3539834022522,200,2400,0.0,32,0.17552972578678436,0.7445982569151344,0.00136411245413469,3,2,55,2100,04522603
0.0345509871840477,0.04316085949540138,0.8150005340576172,2.4917142391204834,0.0345509871840477,199,7200,1761447861,checkpoint_000199,True,False,200,236bd888,2025-10-26_03-04-21,4.911146402359009,1070.4429068565369,1370557,uri-gpu009,10.100.115.9,1070.4429068565369,200,2000,0.35000000000000003,32,0.11815621084151694,0.1527307485609497,0.0005947626855763684,5,2,58,1800,236bd888
