dataset,split_type,split_num,model,roc_auc,root_mean_squared_error
tox21,random,2,XGB,0.7869505181268671,0.24968231450034986
tox21,random,2,SVM,0.8163466332099473,0.23947984202892178
tox21,random,3,LogReg,0.7863673622441887,
tox21,random,3,RF,0.8040122572498397,0.2449332665959781
tox21,random,3,XGB,0.7824591878929379,0.2520770035489856
tox21,random,3,SVM,0.8111118877657367,0.2435069479138896
tox21,random,4,LogReg,0.7740421928419637,
tox21,random,4,RF,0.806158903,0.24690089750357946
tox21,random,4,XGB,0.7872951391120407,0.25335529130300727
tox21,random,4,SVM,0.8112413173388773,0.249307011
tox21,scaffold,0,LogReg,0.7013641017612303,
tox21,scaffold,0,RF,0.7068878371516353,0.28966791265254793
tox21,scaffold,0,XGB,0.6935388164926523,0.3161033267752115
tox21,scaffold,0,SVM,0.7250269784089155,0.2911685140139368
tox21,scaffold,1,LogReg,0.7050110563982845,
tox21,scaffold,1,RF,0.72291101,0.2905065933160737
tox21,scaffold,1,XGB,0.7015461619263846,0.3168132185584002
tox21,scaffold,1,SVM,0.725869609,0.29092136391528506
tox21,scaffold,2,LogReg,0.7083171838533427,
tox21,scaffold,2,RF,0.7193600342195503,0.28998102807607135
tox21,scaffold,2,XGB,0.6965368030888205,0.31760439044101907
tox21,scaffold,2,SVM,0.7304054323417507,0.2906689204020439
tox21,scaffold,3,LogReg,0.7070290622151717,
tox21,scaffold,3,RF,0.7113980702681469,0.28938830130531434
tox21,scaffold,3,XGB,0.6993593746070127,0.31838541115187063
tox21,scaffold,3,SVM,0.729638877,0.29156682857913024
tox21,scaffold,4,LogReg,0.7072258194103266,
tox21,scaffold,4,RF,0.7131149038441752,0.2896479496793675
tox21,scaffold,4,XGB,0.6956130298884831,0.31713363416580526
tox21,scaffold,4,SVM,0.7260278365271912,0.2916369826956734
tox21,umap,0,LogReg,0.6594209449760485,
tox21,umap,0,RF,0.7018364828620552,0.2559506889546856
tox21,umap,0,XGB,0.6575294690819328,0.2682634816176981
tox21,umap,0,SVM,0.7008139300557662,0.25583830551012626
tox21,umap,1,LogReg,0.658787627,
tox21,umap,1,RF,0.6882371164365297,0.2874860234116453
tox21,umap,1,XGB,0.6738213289849738,0.29432392823046416
tox21,umap,1,SVM,0.69458125,0.2843893732897825
tox21,umap,2,LogReg,0.6450938308333785,
tox21,umap,2,RF,0.6462971399141652,0.3109444741174136
tox21,umap,2,XGB,0.6530958608690546,0.3183697467057971
tox21,umap,2,SVM,0.6613422258225297,0.3096796577386072
tox21,umap,3,LogReg,0.6449783986760425,
tox21,umap,3,RF,0.6651348304746676,0.1849240516775615
tox21,umap,3,XGB,0.6648694682448598,0.1882800807703331
tox21,umap,3,SVM,0.6690107401263273,0.18507768293877355
tox21,umap,4,LogReg,0.6601310856298207,
tox21,umap,4,RF,0.6830202779753378,0.1997054199038509
tox21,umap,4,XGB,0.6767222891930315,0.2061768474069323
tox21,umap,4,SVM,0.6849660443803957,0.1991058944889276
